Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1984-85,21,CHI,NBA,SG,82,3144,25.8,.592,.032,.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,,10.3,3.7,14.0,.213,,5.8,1.5,7.3,7.4
1985-86,22,CHI,NBA,SG,18,451,27.5,.533,.055,.381,5.6,10.7,8.0,21.7,3.9,2.7,10.5,38.6,,1.0,0.5,1.5,.160,,7.5,2.2,9.7,1.3
1986-87,23,CHI,NBA,SG,82,3281,29.8,.562,.029,.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,,11.9,5.0,16.9,.247,,8.4,2.4,10.8,10.6
1987-88,24,CHI,NBA,SG,82,3311,31.7,.603,.027,.430,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,,15.2,6.1,21.2,.308,,8.8,4.2,13.0,12.5
1988-89,25,CHI,NBA,SG,81,3255,31.1,.614,.055,.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,,14.6,5.2,19.8,.292,,8.4,3.4,11.9,11.4
1989-90,26,CHI,NBA,SG,82,3197,31.2,.606,.125,.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,,14.7,4.3,19.0,.285,,9.1,2.1,11.2,10.6
1990-91,27,CHI,NBA,SG,82,3034,31.6,.605,.051,.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,,14.9,5.4,20.3,.321,,8.9,3.2,12.0,10.8
1991-92,28,CHI,NBA,SG,80,3102,27.7,.579,.055,.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,,12.1,5.6,17.7,.274,,7.2,2.5,9.7,9.2
1992-93,29,CHI,NBA,SG,78,3067,29.7,.564,.115,.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,,12.0,5.2,17.2,.270,,8.7,2.6,11.2,10.2
1994-95,31,CHI,NBA,SG,17,668,22.1,.493,.079,.337,4.4,16.2,10.3,24.2,2.3,1.5,7.0,33.2,,1.2,1.1,2.3,.167,,3.6,0.6,4.2,1.1
1995-96,32,CHI,NBA,SG,82,3090,29.4,.582,.141,.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,,14.2,6.2,20.4,.317,,8.3,2.2,10.5,9.8
1996-97,33,CHI,NBA,SG,82,3106,27.8,.567,.157,.304,4.2,13.2,8.8,21.2,2.4,1.1,7.2,33.2,,13.3,5.0,18.3,.283,,7.8,1.1,8.9,8.6
1997-98,34,CHI,NBA,SG,82,3181,25.2,.533,.067,.381,4.7,12.5,8.5,18.0,2.4,1.0,7.7,33.7,,10.4,5.4,15.8,.238,,5.9,1.0,6.9,7.1
2001-02,38,WAS,NBA,SF,60,2093,20.7,.468,.040,.252,2.7,16.2,9.4,30.8,2.2,0.9,9.9,36.0,,1.2,2.1,3.3,.075,,3.2,-0.1,3.1,2.7
2002-03,39,WAS,NBA,SF,82,3031,19.3,.491,.036,.212,2.8,16.7,9.7,21.1,2.2,1.0,9.4,28.7,,2.9,3.4,6.2,.099,,1.8,0.0,1.7,2.8
Career,,,NBA,,1072,41011,27.9,.569,.072,.358,4.7,14.1,9.4,24.9,3.1,1.4,9.3,33.3,,149.9,64.1,214.0,.250,,7.2,2.0,9.2,116.1
